1	Esc
2	1 !
3	2 @
4	3 #
5	4 $
6	5 %
7	6 ^
8	7 &
9	8 *
10	9 (
11	0 )
12	- _
13	= +
14	Backspace
15	Tab
16	Q
17	W
18	E
19	R
20	T
21	Y
22	U
23	I
24	O
25	P
26	[ {
27	] }
28	Enter
29	Left Ctrl
30	A
31	S
32	D
33	F
34	G
35	H
36	J
37	K
38	L
39	; :
40	' "
41	` ~
42	Left Shift
43	\ |
44	Z
45	X
46	C
47	V
48	B
49	N
50	M
51	, <
52	. >
53	/ ?
54	Right Shift
55	Keypad *
56	Left Alt
57	Space
58	Caps Lock
59	F1
60	F2
61	F3
62	F4
63	F5
64	F6
65	F7
66	F8
67	F9
68	F10
69	Num Lock
70	Scroll Lock
71	Keypad 7
72	Keypad 8
73	Keypad 9
74	Keypad -
75	Keypad 4
76	Keypad 5
77	Keypad 6
78	Keypad +
79	Keypad 1
80	Keypad 2
81	Keypad 3
82	Keypad 0
83	Keypad .
87	F11
88	F12
272	Rewind
281	Fast Forward
284	Keypad Enter
285	Right Ctrl
288	Mute
289	Calculator
290	Play
292	Stop
302	Volume -
304	Volume +
306	Web
309	Keypad /
311	Print Screen
312	Right Alt
327	Home
328	Up
329	Page Up
331	Left
333	Right
335	End
336	Down
337	Page Down
338	Insert
339	Delete
347	Left Win
348	Right Win
349	Menu
351	Sleep
357	Browser Search
358	Browser Favorites
359	Browser Refresh
360	Browser Stop
361	Browser Forward
362	Browser Back
363	Computer
364	Mail
365	Media
502	Power
